insert into pedidos (numero, codcliente, datapedido, total) values
(1, 5158, '17/10/2022', 26480),
(2, 5083, '12/4/2021', 29021),
(3, 5696, '6/10/2020', 34609),
(4, 5999, '15/6/2022', 14192),
(5, 5184, '21/2/2020', 33878),
(6, 5401, '26/8/2020', 11753),
(7, 5895, '10/1/2021', 47284),
(8, 5170, '13/8/2021', 13278),
(9, 5453, '22/1/2020', 17574),
(10, 5220, '7/7/2021', 5027),
(11, 5322, '20/7/2021', 16753),
(12, 5778, '8/1/2020', 28434),
(13, 5511, '20/6/2020', 32687),
(14, 5667, '22/12/2021', 37573),
(15, 5245, '10/6/2020', 30300),
(16, 5546, '13/4/2020', 40336),
(17, 5055, '13/8/2020', 34746),
(18, 5770, '26/6/2021', 39762),
(19, 5759, '13/9/2021', 12170),
(20, 5656, '11/10/2021', 32722),
(21, 5371, '10/3/2022', 37718),
(22, 5630, '22/3/2021', 49807),
(23, 5894, '19/3/2020', 1370),
(24, 5496, '25/5/2021', 42428),
(25, 5266, '16/2/2021', 43669),
(26, 5417, '15/9/2020', 5207),
(27, 5892, '7/8/2020', 35900),
(28, 5356, '28/3/2022', 16937),
(29, 5448, '20/4/2021', 35204),
(30, 5110, '19/12/2021', 25243),
(31, 5519, '26/9/2021', 13444),
(32, 5166, '26/2/2020', 13619),
(33, 5526, '22/9/2022', 9862),
(34, 5718, '18/3/2021', 47512),
(35, 5447, '19/9/2021', 41154),
(36, 5852, '7/5/2022', 150),
(37, 5363, '13/9/2020', 42377),
(38, 5697, '7/1/2020', 23277),
(39, 5936, '4/3/2020', 18501),
(40, 5019, '3/4/2020', 44276),
(41, 5176, '5/8/2020', 17061),
(42, 5268, '19/4/2020', 31810),
(43, 5516, '5/6/2021', 34174),
(44, 5127, '23/12/2021', 2679),
(45, 5824, '10/5/2020', 22786),
(46, 5002, '9/12/2020', 28051),
(47, 5333, '13/9/2020', 5770),
(48, 5390, '19/11/2020', 9951),
(49, 5406, '6/4/2020', 48256),
(50, 5883, '26/3/2021', 9881),
(51, 5161, '4/2/2022', 14824),
(52, 5838, '6/10/2020', 25710),
(53, 5848, '17/12/2022', 5920),
(54, 5801, '10/6/2022', 8915),
(55, 5804, '17/11/2021', 48761),
(56, 5803, '8/7/2020', 24068),
(57, 5741, '2/4/2021', 387),
(58, 5027, '2/12/2022', 28390),
(59, 5303, '12/11/2020', 32708),
(60, 5552, '23/2/2021', 48925),
(61, 5813, '18/1/2022', 11782),
(62, 5348, '1/4/2021', 24606),
(63, 5906, '27/2/2021', 19502),
(64, 5601, '8/8/2020', 2023),
(65, 5780, '10/10/2022', 15429),
(66, 5537, '11/1/2020', 20616),
(67, 5069, '9/2/2021', 3331),
(68, 5787, '28/6/2021', 6637),
(69, 5521, '7/3/2020', 4793),
(70, 5745, '5/5/2022', 19086),
(71, 5806, '15/9/2022', 49249),
(72, 5329, '16/8/2020', 25404),
(73, 5184, '18/8/2020', 29043),
(74, 5069, '24/12/2021', 49112),
(75, 5163, '15/7/2021', 32130),
(76, 5055, '22/9/2022', 22412),
(77, 5064, '15/10/2022', 20610),
(78, 5545, '27/10/2020', 18533),
(79, 5485, '14/7/2021', 4040),
(80, 5050, '15/2/2020', 16223),
(81, 5800, '23/10/2022', 22144),
(82, 5569, '24/3/2020', 16852),
(83, 5312, '24/10/2022', 12907),
(84, 5731, '12/4/2022', 11813),
(85, 5579, '23/11/2020', 14076),
(86, 5971, '6/8/2020', 20207),
